sku_canonical,description,price,sku,currency,unit,from_quantity
0045200I,ARANDELA PLANA DIN125 D10 INOX,0.21314999999999998,0045200I,EUR,UN,0.0
0065000I,"MACHON F280   1/2"" INOX",6.6381,0065000I,EUR,UN,0.0
0065100I,"ENLACE F331 1/2"" M-H INOX80BAR",31.627399999999998,0065100I,EUR,UN,0.0
0066300,MACHON F280   3/8,4.59795,0066300,EUR,UN,0.0
0066400I,"TE 90º F130 3/8"" INOX",8.6884,0066400I,EUR,UN,0.0
0067900I,TORNILLO DIN 933 M 8X 25-INOX,0.22329999999999997,0067900I,EUR,UN,0.0
0068000I,"ARANDELA AC. 8,5X 39  X4  INOX",5.1358999999999995,0068000I,EUR,UN,0.0
0077500,RACOR REDUC.CON. 1/8 -1/4 M-M,1.1773999999999998,0077500,EUR,UN,0.0
0096400I,TUERCA DIN 934 M 6 INOX,0.21314999999999998,0096400I,EUR,UN,0.0
0115700I,"CODO F90   1/2"" H-H INOX",4.821249999999999,0115700I,EUR,UN,0.0
0117300I,ARANDELA PLANA DIN125 D16 INOX,0.21314999999999998,0117300I,EUR,UN,0.0
0119600I,TORNILLO DIN 7991 M 4X 8-INOX,0.21314999999999998,0119600I,EUR,UN,0.0
0130600,ABRAZADERA DE CASQUILLO 13-15,1.4615999999999998,0130600,EUR,UN,0.0
0131400,RODAMIENTO 30X62X16  6206,3.3088999999999995,0131400,EUR,UN,0.0
0134300I,"CODO F90   1/4"" H-H INOX",4.273149999999999,0134300I,EUR,UN,0.0
0146100,RACOR MANGUERA D8-1/4H,12.6469,0146100,EUR,UN,0.0
0147200,ARANDELA PLANA DIN 125 D 8,0.21314999999999998,0147200,EUR,UN,0.0
0147200I,ARANDELA PLANA DIN125 D 8 INOX,0.21314999999999998,0147200I,EUR,UN,0.0
0148100I,ARANDELA PLANA DIN125 D20 INOX,0.30449999999999994,0148100I,EUR,UN,0.0
0162600,RODILLO SUPERIOR,134.57885,0162600,EUR,UN,0.0
0162700,RODILLO INFERIOR,125.7585,0162700,EUR,UN,0.0
0162899,SOPORTE RODILLO SUPERIOR,59.77334999999999,0162899,EUR,UN,0.0
0162900,PASADOR ELASTIC.DIN7343 D 8X28,1.06575,0162900,EUR,UN,0.0
0163100,RESORTE DE COMPRESION,11.794299999999998,0163100,EUR,UN,0.0
0163200,TORNILLO TENSOR,28.551949999999998,0163200,EUR,UN,0.0
0163300,TUERCA TORNILLO TENSOR,10.635169999999999,0163300,EUR,UN,0.0
0163500,MANIVELA,31.047834999999996,0163500,EUR,UN,0.0
0164100,PASADOR ELASTIC.DIN7343 D 8X24,0.6089999999999999,0164100,EUR,UN,0.0
0164300I,TE 90º80F130   1/4  INOX,7.8256499999999996,0164300I,EUR,UN,0.0
